image,label
images/1212.jpg,Butterfly
images/311.jpg,Ladybug
images/15.jpg,Ant
images/814.jpg,Spider
images/880.jpg,Spider
images/39.jpg,Ant
images/159.jpg,Ant
images/506.jpg,Butterfly
images/423.jpg,Ladybug
images/669.jpg,Butterfly
images/730.jpg,Butterfly
images/402.jpg,Ladybug
images/1189.jpg,Butterfly
images/886.jpg,Spider
images/1093.jpg,Butterfly
images/217.jpg,Ladybug
images/545.jpg,Butterfly
images/267.jpg,Ladybug
images/542.jpg,Butterfly
images/896.jpg,Spider
images/724.jpg,Butterfly
images/153.jpg,Ant
images/1038.jpg,Spider
images/537.jpg,Butterfly
images/1177.jpg,Butterfly
images/8.jpg,Ant
images/251.jpg,Ladybug
images/1144.jpg,Butterfly
images/471.jpg,Ladybug
images/140.jpg,Ant
images/1223.jpg,Butterfly
images/22.jpg,Ant
images/312.jpg,Ladybug
images/868.jpg,Spider
images/644.jpg,Butterfly
images/564.jpg,Butterfly
images/583.jpg,Butterfly
images/446.jpg,Ladybug
images/72.jpg,Ant
images/821.jpg,Spider
images/824.jpg,Spider
images/1157.jpg,Butterfly
images/135.jpg,Ant
images/848.jpg,Spider
images/498.jpg,Butterfly
images/961.jpg,Spider
images/503.jpg,Butterfly
images/769.jpg,Butterfly
images/1035.jpg,Spider
images/621.jpg,Butterfly
images/202.jpg,Ladybug
images/109.jpg,Ant
images/768.jpg,Butterfly
images/13.jpg,Ant
images/515.jpg,Butterfly
images/847.jpg,Spider
images/1096.jpg,Butterfly
images/932.jpg,Spider
images/271.jpg,Ladybug
images/1086.jpg,Butterfly
images/285.jpg,Ladybug
images/590.jpg,Butterfly
images/390.jpg,Ladybug
images/1102.jpg,Butterfly
images/463.jpg,Ladybug
images/1059.jpg,Spider
images/758.jpg,Butterfly
images/694.jpg,Butterfly
images/771.jpg,Butterfly
images/718.jpg,Butterfly
images/28.jpg,Ant
images/573.jpg,Butterfly
images/309.jpg,Ladybug
images/293.jpg,Ladybug
images/969.jpg,Spider
images/162.jpg,Ant
images/613.jpg,Butterfly
images/11.jpg,Ant
images/974.jpg,Spider
images/77.jpg,Ant
images/710.jpg,Butterfly
images/184.jpg,Ladybug
images/757.jpg,Butterfly
images/777.jpg,Butterfly
images/496.jpg,Butterfly
images/674.jpg,Butterfly
images/1022.jpg,Spider
images/387.jpg,Ladybug
images/662.jpg,Butterfly
images/143.jpg,Ant
images/554.jpg,Butterfly
images/978.jpg,Spider
images/1142.jpg,Butterfly
images/888.jpg,Spider
images/1058.jpg,Spider
images/1141.jpg,Butterfly
images/885.jpg,Spider
images/416.jpg,Ladybug
images/572.jpg,Butterfly
images/78.jpg,Ant
images/1127.jpg,Butterfly
images/878.jpg,Spider
images/212.jpg,Ladybug
images/1182.jpg,Butterfly
images/280.jpg,Ladybug
images/350.jpg,Ladybug
images/73.jpg,Ant
images/75.jpg,Ant
images/480.jpg,Ladybug
images/29.jpg,Ant
images/1226.jpg,Butterfly
images/203.jpg,Ladybug
images/313.jpg,Ladybug
images/549.jpg,Butterfly
images/833.jpg,Spider
images/360.jpg,Ladybug
images/245.jpg,Ladybug
images/796.jpg,Spider
images/228.jpg,Ladybug
images/1122.jpg,Butterfly
images/859.jpg,Spider
images/368.jpg,Ladybug
images/112.jpg,Ant
images/799.jpg,Spider
images/685.jpg,Butterfly
images/811.jpg,Spider
images/643.jpg,Butterfly
images/663.jpg,Butterfly
images/976.jpg,Spider
images/584.jpg,Butterfly
images/83.jpg,Ant
images/728.jpg,Butterfly
images/509.jpg,Butterfly
images/647.jpg,Butterfly
images/706.jpg,Butterfly
images/937.jpg,Spider
images/719.jpg,Butterfly
